#,Species,Form,Event,Gender,Shiny,Ball,Origin Mark,Ability,Nature,OT,TID,Level,Language,Date Met,Touched?,Source,Disclosure,Proof,Proof ID,Location,Box,Notes
0025,Pikachu,,gen9-flychu,female,FALSE,normal,paldea,Static,Impish,Matt,456206,5,ENG,2023/02/24,FALSE,Self-redeemed,,Video,23022401,"Scarlet (Console 1) Profile 1",,
0934,Garganacl,,jiseok-garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/16,FALSE,Self-redeemed,,Video,23021601,"Scarlet (Console 1) Profile 1",,
0915,Lechonk,,flying-lechonk,male,FALSE,cherish,paldea,Thick Fat,Bashful,Matt,456206,15,ENG,2023/04/01,FALSE,Self-redeemed,,Video,23040101,"Scarlet (Console 1) Profile 1",,
0964,Palafin,,gavin-palafin,female,FALSE,cherish,paldea,Zero to Hero,Adamant,Gavin,230414,50,ENG,2023/04/14,FALSE,Self-redeemed,,Video,23041401,"Scarlet (Console 1) Profile 1",,
