#,Species,Event,sprite slug,Gender,Shiny,Ball,Origin Mark,Ability,Nature,OT,TID,Level,Language,Date Met,Touched?,Source,Disclosure,Proof,Proof ID,Location,Box,Notes,R3
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/18,FALSE,Self-redeemed,,Video,23021801,"Violet (Console 1) Profile 1",,,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/18,FALSE,Self-redeemed,,Video,23021802,"Violet (Console 1) Profile 2",,,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/18,FALSE,Self-redeemed,,Video,23021803,"Violet (Console 1) Profile 3",,,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/18,FALSE,Self-redeemed,,Video,23021804,"Violet (Console 1) Profile 4",,,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/18,FALSE,Self-redeemed,,Video,23021805,"Violet (Console 1) Profile 5",,JPN save,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/19,FALSE,Self-redeemed,,Video,23021901,"Violet (Console 1) Profile 6",,JPN save,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/19,FALSE,Self-redeemed,,Video,23021902,"Violet (Console 1) Profile 7",,KOR save,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/19,FALSE,Self-redeemed,,Video,23021903,"Violet (Console 1) Profile 8",,KOR save,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0934,Garganacl,jiseok-garganacl,garganacl,male,FALSE,cherish,paldea,Purifying Salt,Careful,Jiseok,230217,50,ENG,2023/02/19,FALSE,Self-redeemed,,Video,23021904,"Violet (Console 2) Profile 2",,,Garganacl | Jiseok | 230217 | Self-redeemed | Video |  | 
0964,Palafin,gavin-palafin,palafin,female,FALSE,cherish,paldea,Zero to Hero,Adamant,Gavin,230414,50,ENG,2023/04/14,FALSE,Self-redeemed,,Video,23041402,"Scarlet (Console 1) Profile 2",,,Palafin | Gavin | 230414 | Self-redeemed | Video |  | 
0964,Palafin,gavin-palafin,palafin,female,FALSE,cherish,paldea,Zero to Hero,Adamant,Gavin,230414,50,ENG,2023/04/14,FALSE,Self-redeemed,,Video,23041403,"Scarlet (Console 1) Profile 3",,,Palafin | Gavin | 230414 | Self-redeemed | Video |  | 
0964,Palafin,gavin-palafin,palafin,female,FALSE,cherish,paldea,Zero to Hero,Adamant,Gavin,230414,50,ENG,2023/04/14,FALSE,Self-redeemed,,Video,23041404,"Scarlet (Console 1) Profile 4",,,Palafin | Gavin | 230414 | Self-redeemed | Video |  | 
